Organisation Name,Organisation Website,Organisation Address,Organisation Languages,Organisation Services,Organisation Google Map,Organisation Details
Care for Newcomers - St. Patrick's Community School,https://www.stpatsschool.ca,https://www.stpatsschool.ca/contact,"English, Ukrainian, Uzbek","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Services for children', 'Services for youth']",https://www.stpatsschool.ca/contact,"Red Deer, AlbertaTelephone: 403-343-3238Languages of service: English, Ukrainian, Uzbek/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineServices for childrenServices for youth"
Cariboo Chilcotin Partners for Literacy Society - 100 Mile House office,https://www.caribooliteracy.com,"275 Birch Avenue, Unit 102",English,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'General language training', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for refugees', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=275%20Birch%20Avenue%2C%20Unit%20102%20100%20Mile%20House%20British%20Columbia%20Canada,"100 Mile House, British ColumbiaV0K 2E0Telephone: 778-482-0016Languages of service: English/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityHelp finding a jobHelp getting a licence or certification in a regulated professionGeneral language trainingInformal language learningServices for childrenServices for youthServices for womenServices for seniorsServices for refugeesServices for people experiencing gender-based violence"
Cariboo Chilcotin Partners for Literacy Society - Williams Lake branch,https://www.caribooliteracy.com,"172 2nd Avenue North, Unit 302","English, Russian, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Language assessment', 'General language training', 'Job-specific language training', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for refugees', 'Services for people experiencing gender-based violence']",http://maps.google.com/maps?q=172%202nd%20Avenue%20North%2C%20Unit%20302%20Williams%20Lake%20British%20Columbia%20Canada,"Williams Lake, British ColumbiaV2G 1Z6Telephone: 250-392-7833Languages of service: English, Russian, Ukrainian/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityHelp finding a jobHelp getting a licence or certification in a regulated professionLanguage assessmentGeneral language trainingJob-specific language trainingInformal language learningServices for childrenServices for youthServices for womenServices for seniorsServices for refugeesServices for people experiencing gender-based violence"
Carlton Trail College,https://www.carltontrailcollege.com/,humboldt@carltontrailcollege.com,English,"['Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'General language training', 'Informal language learning']",mailto:humboldt@carltontrailcollege.com,"Humboldt, SaskatchewanTelephone: 306-682-2623Languages of service: English/Help preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentGeneral language trainingInformal language learning"
Carlton Trail College,https://www.carltontrailcollege.com/,humboldt@carltontrailcollege.com,English,"['Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'General language training', 'Informal language learning']",mailto:humboldt@carltontrailcollege.com,"Humboldt, SaskatchewanTelephone: 306-682-2623Languages of service: English/Help preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentGeneral language trainingInformal language learning"
Carlton Trail College,https://www.carltontrailcollege.com/,humboldt@carltontrailcollege.com,English,"['Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'General language training', 'Informal language learning']",mailto:humboldt@carltontrailcollege.com,"Humboldt, SaskatchewanTelephone: 306-682-2623Languages of service: English/Help preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentGeneral language trainingInformal language learning"
Carlton Trail College,https://www.carltontrailcollege.com/,humboldt@carltontrailcollege.com,English,"['Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'General language training', 'Informal language learning']",mailto:humboldt@carltontrailcollege.com,"Humboldt, SaskatchewanTelephone: 306-682-2623Languages of service: English/Help preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentGeneral language trainingInformal language learning"
Carlton Trail College - Davidson Senior Center,https://davidson-sc.org,,English,"['General settlement help', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Help finding a job', 'Language assessment', 'General language training', 'Informal language learning']",,"Davidson, SaskatchewanTelephone: 306-567-5591Languages of service: English/General settlement helpHelp preparing for the citizenship testHelp connecting with the local communityHelp finding a jobLanguage assessmentGeneral language trainingInformal language learning"
Carlton Trail College - Drake Meats,https://www.drakesmeats.com,121 Francis Street,English,"['General settlement help', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Help finding a job', 'Language assessment', 'General language training', 'Job-specific language training', 'Informal language learning']",http://maps.google.com/maps?q=121%20Francis%20Street%20%20Drake%20Saskatchewan%20Canada,"Drake, SaskatchewanS0K 1H0Telephone: 303-363-2117Languages of service: English/General settlement helpHelp preparing for the citizenship testHelp connecting with the local communityHelp finding a jobLanguage assessmentGeneral language trainingJob-specific language trainingInformal language learning"
Carlton Trail College - Humboldt Carlton Trail College,https://www.carltontrailcollege.com/,611 17th Street,English,"['Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Language assessment', 'General language training', 'Informal language learning']",http://maps.google.com/maps?q=611%2017th%20Street%20%20Humboldt%20Saskatchewan%20Canada,"Humboldt, SaskatchewanS0K 2A1Telephone: 306-682-2623Languages of service: English/Help preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobLanguage assessmentGeneral language trainingInformal language learning"
Carlton Trail College - Imperial Town Office,https://imperial.ca,town.imperial@sasktel.net,English,"['General settlement help', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Help finding a job', 'Language assessment', 'General language training', 'Informal language learning']",mailto:town.imperial@sasktel.net ,"Imperial, SaskatchewanTelephone: 306-963-2220Languages of service: English/General settlement helpHelp preparing for the citizenship testHelp connecting with the local communityHelp finding a jobLanguage assessmentGeneral language trainingInformal language learning"
Carlton Trail College - Leroy School,https://leroy.horizonsd.ca/,https://leroy.horizonsd.ca/apps/contact/,English,"['General settlement help', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Help finding a job', 'Language assessment', 'General language training', 'Informal language learning']",https://leroy.horizonsd.ca/apps/contact/,"Leroy, SaskatchewanTelephone: 306-286-3313Languages of service: English/General settlement helpHelp preparing for the citizenship testHelp connecting with the local communityHelp finding a jobLanguage assessmentGeneral language trainingInformal language learning"
Carlton Trail College - Raymore School,https://raymore.horizonsd.ca/,https://raymore.horizonsd.ca/apps/contact/,English,"['General settlement help', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Help finding a job', 'Language assessment', 'General language training', 'Informal language learning']",https://raymore.horizonsd.ca/apps/contact/,"Raymore, SaskatchewanTelephone: 306-746-2112Languages of service: English/General settlement helpHelp preparing for the citizenship testHelp connecting with the local communityHelp finding a jobLanguage assessmentGeneral language trainingInformal language learning"
Carlton Trail College - Schulte Industries,https://schulte.ca,Railway Street,English,"['General settlement help', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Help finding a job', 'Language assessment', 'General language training', 'Job-specific language training', 'Informal language learning']",http://maps.google.com/maps?q=Railway%20Street%20%20Englefeld%20Saskatchewan%20Canada,"Englefeld, SaskatchewanS0K 1N0Telephone: 306-287-3715Languages of service: English/General settlement helpHelp preparing for the citizenship testHelp connecting with the local communityHelp finding a jobLanguage assessmentGeneral language trainingJob-specific language trainingInformal language learning"
Carlton Trail College - Wynyard Carlton Trail College,https://www.carltontrailcollege.com/,400a Avenue D West,English,"['General settlement help', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Help finding a job', 'Language assessment', 'General language training', 'Informal language learning']",http://maps.google.com/maps?q=400a%20Avenue%20D%20West%20%20Wynyard%20Saskatchewan%20Canada,"Wynyard, SaskatchewanS7K 3A9Telephone: 306-554-3767Languages of service: English/General settlement helpHelp preparing for the citizenship testHelp connecting with the local communityHelp finding a jobLanguage assessmentGeneral language trainingInformal language learning"
Carrefour Nunavut,https://www.carrefournunavut.ca,"723 Iglulik Drive, Unit 723",French,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'General language training', 'Services for children', 'Services for youth', 'Services for French speakers']",http://maps.google.com/maps?q=723%20Iglulik%20Drive%2C%20Unit%20723%20Iqaluit%20Nunavut%20Canada,"Iqaluit, NunavutX0A 3H0Telephone: 867-979-2800Languages of service: French/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobGeneral language trainingServices for childrenServices for youthServices for French speakers"
Carrefour Nunavut,https://www.carrefournunavut.ca,"723 Iglulik Drive, Unit 723",French,"['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'General language training', 'Services for children', 'Services for youth', 'Services for French speakers']",http://maps.google.com/maps?q=723%20Iglulik%20Drive%2C%20Unit%20723%20Iqaluit%20Nunavut%20Canada,"Iqaluit, NunavutX0A 3H0Telephone: 867-979-2800Languages of service: French/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobGeneral language trainingServices for childrenServices for youthServices for French speakers"
Carrefour Nunavut,https://www.carrefournunavut.ca,direction@carrefournunavut.ca,French,"['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'General language training', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for French speakers']",mailto:direction@carrefournunavut.ca,"Iqaluit, NunavutTelephone: 867-979-2800Languages of service: French/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineHelp finding a jobGeneral language trainingInformal language learningServices for childrenServices for youthServices for French speakers"
"Catholic Centre for Immigrants, Ottawa",https://www.cciottawa.ca,"219 Argyle Avenue, Floor 1","English, French, Affar, Afghan, Albanian, Amharic, Arabic, Creole, Croatian, Farsi (Persian), Italian, Karen, Kinyamulenge, Kinyarwanda, Kirundi, Kiswahili, Kurdish, Lebanese, Lingala, Pashto, Persian, Rohingya, Russian, Serbian, Serbo-Croat-Bosnian, Serbo-Croat-Bosnian, Somali, Spanish, Swahili, Tigrigna, Turkish, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Informal language learning', 'Services for children', 'Services for youth', 'Services for women', 'Services for seniors', 'Services for French speakers', 'Services for refugees', 'Services for 2SLGBTQI+']",http://maps.google.com/maps?q=219%20Argyle%20Avenue%2C%20Floor%201%20Ottawa%20Ontario%20Canada,"Ottawa, OntarioK2P 2H4Telephone: 613-232-9634Languages of service: English, French, Affar, Afghan, Albanian, Amharic, Arabic, Creole, Croatian, Farsi (Persian), Italian, Karen, Kinyamulenge, Kinyarwanda, Kirundi, Kiswahili, Kurdish, Lebanese, Lingala, Pashto, Persian, Rohingya, Russian, Serbian, Serbo-Croat-Bosnian, Serbo-Croat-Bosnian, Somali, Spanish, Swahili, Tigrigna, Turkish, Ukrainian/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionInformal language learningServices for childrenServices for youthServices for womenServices for seniorsServices for French speakersServices for refugeesServices for 2SLGBTQI+"
"Catholic Centre for Immigrants, Ottawa - St. Patrick Adult School",https://www.ocsb.ca,290 Nepean Street,"English, French, Arabic","['General settlement help', 'Services available online']",http://maps.google.com/maps?q=290%20Nepean%20Street%20%20Ottawa%20Ontario%20Canada,"Ottawa, OntarioK1R 5G3Telephone: 613-594-5773Languages of service: English, French, Arabic/General settlement helpServices available online"
Catholic Community Services of York Region,https://www.ccsyr.org,"50 High Tech Road, Floor 1","English, Arabic, Chinese, Farsi (Persian), Gujarati, Hindi, Korean, Kurdish, Russian, Turkish, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job']",http://maps.google.com/maps?q=50%20High%20Tech%20Road%2C%20Floor%201%20Richmond%20Hill%20Ontario%20Canada,"Richmond Hill, OntarioL4B 4N7Telephone: 905-770-7040Languages of service: English, Arabic, Chinese, Farsi (Persian), Gujarati, Hindi, Korean, Kurdish, Russian, Turkish, Ukrainian/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a job"
Catholic Community Services of York Region - Markham North Welcome Centre,https://www.welcomecentre.ca,"8400 Woodbine Avenue, Units 102-103","English, French, Cantonese, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Dari, Farsi (Persian), German, Mandarin, Pashto, Punjabi, Tagalog, Turkish, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning']",http://maps.google.com/maps?q=8400%20Woodbine%20Avenue%2C%20Units%20102-103%20Markham%20Ontario%20Canada,"Markham, OntarioL3R 4N7Telephone: 289-846-3645Languages of service: English, French, Cantonese, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Dari, Farsi (Persian), German, Mandarin, Pashto, Punjabi, Tagalog, Turkish, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learning"
Catholic Community Services of York Region - Markham South Welcome Centre,https://www.welcomecentre.ca,"7220 Kennedy Road, Unit 8","English, French, Cantonese, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Farsi (Persian), German, Hindi, Malayalam","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning']",http://maps.google.com/maps?q=7220%20Kennedy%20Road%2C%20Unit%208%20Markham%20Ontario%20Canada,"Markham, OntarioL3R 7P2Telephone: 905-479-7926Languages of service: English, French, Cantonese, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Farsi (Persian), German, Hindi, Malayalam/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learning"
Catholic Community Services of York Region - Newcomer Reception Centre - York Catholic District School Board,https://www.ccsyr.org,320 Bloomington Road West,"English, French, Afghan, Arabic, Assyrian, Cantonese, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Dari, Farsi (Persian), Gujarati, Hindi, Korean, Lebanese, Mandarin, Marathi, other African languages, other Middle Eastern languages, other South Asian languages, other South East Asian languages, Pashto, Persian, Portuguese, Punjabi, Russian, Spanish, Tagalog, Tamil, Turkish, Ukrainian, Urdu","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Services for children', 'Services for youth']",http://maps.google.com/maps?q=320%20Bloomington%20Road%20West%20%20Aurora%20Ontario%20Canada,"Aurora, OntarioL4G 0M1Telephone: 905-770-7040Languages of service: English, French, Afghan, Arabic, Assyrian, Cantonese, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Dari, Farsi (Persian), Gujarati, Hindi, Korean, Lebanese, Mandarin, Marathi, other African languages, other Middle Eastern languages, other South Asian languages, other South East Asian languages, Pashto, Persian, Portuguese, Punjabi, Russian, Spanish, Tagalog, Tamil, Turkish, Ukrainian, Urdu/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineHelp finding a jobServices for childrenServices for youth"
Catholic Community Services of York Region - Newcomer Reception Centre - York District School Board Dr. Bette Stephenson Centre for learning,https://www.ccsyr.org,36 Regatta Avenue,"English, French, Afghan, Arabic, Assyrian, Cantonese, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Dari, Farsi (Persian), Gujarati, Hindi, Korean, Lebanese, Mandarin, Marathi, other African languages, other Middle Eastern languages, other South Asian languages, other South East Asian languages, Pashto, Persian, Portuguese, Punjabi, Russian, Spanish, Tagalog, Tamil, Turkish, Ukrainian, Urdu","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Services for children', 'Services for youth']",http://maps.google.com/maps?q=36%20Regatta%20Avenue%20%20Richmond%20Hill%20Ontario%20Canada,"Richmond Hill, OntarioL4E 4R1Telephone: 905-770-7040Languages of service: English, French, Afghan, Arabic, Assyrian, Cantonese, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Dari, Farsi (Persian), Gujarati, Hindi, Korean, Lebanese, Mandarin, Marathi, other African languages, other Middle Eastern languages, other South Asian languages, other South East Asian languages, Pashto, Persian, Portuguese, Punjabi, Russian, Spanish, Tagalog, Tamil, Turkish, Ukrainian, Urdu/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineHelp finding a jobServices for childrenServices for youth"
Catholic Community Services of York Region - Newmarket Welcome Centre,https://www.welcomecentre.ca,"16655 Yonge Street, Unit 26","English, French, Cantonese, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Farsi (Persian), German, Mandarin, Persian, Russian, Spanish, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning']",http://maps.google.com/maps?q=16655%20Yonge%20Street%2C%20Unit%2026%20Newmarket%20Ontario%20Canada,"Newmarket, OntarioL3X 1V6Telephone: 289-841-3032Languages of service: English, French, Cantonese, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Farsi (Persian), German, Mandarin, Persian, Russian, Spanish, Ukrainian/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learning"
Catholic Community Services of York Region - Richmond Hill Welcome Centre,https://www.welcomecentre.ca,"9325 Yonge Street, Unit 31A","English, French, Arabic, Armenian, Azeri, Bengali, Cantonese, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Farsi (Persian), German, Gujarati, Hindi, Korean, Kurdish, Lebanese, Luganda, Malayalam, Mandarin, other African languages, Persian, Punjabi, Russian, Shanghai, Spanish, Swahili, Turkish, Ukrainian, Urdu, Yiddish","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'Informal language learning']",http://maps.google.com/maps?q=9325%20Yonge%20Street%2C%20Unit%2031A%20Richmond%20Hill%20Ontario%20Canada,"Richmond Hill, OntarioL4C 0A8Telephone: 289-842-3124Languages of service: English, French, Arabic, Armenian, Azeri, Bengali, Cantonese, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Farsi (Persian), German, Gujarati, Hindi, Korean, Kurdish, Lebanese, Luganda, Malayalam, Mandarin, other African languages, Persian, Punjabi, Russian, Shanghai, Spanish, Swahili, Turkish, Ukrainian, Urdu, Yiddish/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionInformal language learning"
Catholic Community Services of York Region - Vaughan Welcome Centre,https://www.welcomecentre.ca,"9100 Jane Street, Building H, Units 56-67","English, French, Arabic, Farsi (Persian), German, Hebrew, Kurdish, Lebanese, Persian, Russian, Spanish, Turkish, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Informal language learning']",http://maps.google.com/maps?q=9100%20Jane%20Street%2C%20Building%20H%2C%20Units%2056-67%20Vaughan%20Ontario%20Canada,"Vaughan, OntarioL4K 0A4Telephone: 905-761-1155Languages of service: English, French, Arabic, Farsi (Persian), German, Hebrew, Kurdish, Lebanese, Persian, Russian, Spanish, Turkish, Ukrainian/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobInformal language learning"
Catholic Community Services of York Region - York Region District School Board,https://www.ccsyr.org,info@ccsyr.org,"English, French, Afghan, Arabic, Assyrian, Cantonese, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Dari, Farsi (Persian), Gujarati, Hindi, Korean, Lebanese, Mandarin, Marathi, other African languages, other Middle Eastern languages, other South Asian languages, other South East Asian languages, Pashto, Persian, Portuguese, Russian, Spanish, Tagalog, Tamil, Turkish, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Services for children', 'Services for youth', 'Services for women', 'Services for 2SLGBTQI+']",mailto:info@ccsyr.org,"Richmond Hill, OntarioTelephone: 905-770-7040Languages of service: English, French, Afghan, Arabic, Assyrian, Cantonese, Chinese, Chinese - Simplified (translation only), Chinese - Traditional (translation only), Dari, Farsi (Persian), Gujarati, Hindi, Korean, Lebanese, Mandarin, Marathi, other African languages, other Middle Eastern languages, other South Asian languages, other South East Asian languages, Pashto, Persian, Portuguese, Russian, Spanish, Tagalog, Tamil, Turkish, Ukrainian/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineHelp finding a jobServices for childrenServices for youthServices for womenServices for 2SLGBTQI+"
Catholic Crosscultural Services,https://www.ccscan.ca,"1200 Markham Road, Unit 503","English, Dari, Mandarin, Pashto","['Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'General language training', 'Job-specific language training', 'Services for children', 'Services for refugees']",http://maps.google.com/maps?q=1200%20Markham%20Road%2C%20Unit%20503%20Scarborough%20Ontario%20Canada,"Scarborough, OntarioM1H 3C3Telephone: 416-289-6766Languages of service: English, Dari, Mandarin, Pashto/Services available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionGeneral language trainingJob-specific language trainingServices for childrenServices for refugees"
Catholic Crosscultural Services,https://www.ccscan.ca,"4557 Hurontario Street, Unit B11","English, Arabic, Dari, Farsi (Persian), Hindi, Mandarin, Nepali, Pashto, Polish, Ukrainian","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'General language training', 'Services for children', 'Services for women', 'Services for refugees']",http://maps.google.com/maps?q=4557%20Hurontario%20Street%2C%20Unit%20B11%20Mississauga%20Ontario%20Canada,"Mississauga, OntarioL4Z 3M2Telephone: 905-272-1703Languages of service: English, Arabic, Dari, Farsi (Persian), Hindi, Mandarin, Nepali, Pashto, Polish, Ukrainian/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionGeneral language trainingServices for childrenServices for womenServices for refugees"
Catholic Crosscultural Services,https://www.ccscan.ca,"1200 Markham Road, Unit 503","English, Arabic, Hindi, Urdu","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Services for refugees']",http://maps.google.com/maps?q=1200%20Markham%20Road%2C%20Unit%20503%20Scarborough%20Ontario%20Canada,"Scarborough, OntarioM1H 3C3Telephone: 416-289-6766Languages of service: English, Arabic, Hindi, Urdu/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineServices for refugees"
Catholic Crosscultural Services,https://www.ccscan.ca,"2206 Eglinton Avenue East, Unit 124","English, Dari, Farsi (Persian), Pashto","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Services for refugees']",http://maps.google.com/maps?q=2206%20Eglinton%20Avenue%20East%2C%20Unit%20124%20Scarborough%20Ontario%20Canada,"Scarborough, OntarioM1L 4S7Telephone: 416-759-8800Languages of service: English, Dari, Farsi (Persian), Pashto/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineServices for refugees"
Catholic Crosscultural Services,https://www.ccscan.ca,55 Town Centre Court Suite 401,"English, Dari, Mandarin, Pashto, Tamil","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Services for children', 'Services for youth']",http://maps.google.com/maps?q=55%20Town%20Centre%20Court%20Suite%20401%20Scarborough%20Ontario%20Canada,"Scarborough, OntarioM1P 4X4Telephone: 416-757-7010Languages of service: English, Dari, Mandarin, Pashto, Tamil/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineServices for childrenServices for youth"
Catholic Crosscultural Services,https://www.ccscan.ca,55 Town Centre Court Suite 401,"English, Arabic, Armenian, Azeri, Cantonese, Dari, Farsi (Persian), Hindi, Mandarin, Pashto, Russian, Tamil, Turkish, Ukrainian, Urdu","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Services for 2SLGBTQI+']",http://maps.google.com/maps?q=55%20Town%20Centre%20Court%20Suite%20401%20Scarborough%20Ontario%20Canada,"Scarborough, OntarioM1P 4X4Telephone: 416-757-7010Languages of service: English, Arabic, Armenian, Azeri, Cantonese, Dari, Farsi (Persian), Hindi, Mandarin, Pashto, Russian, Tamil, Turkish, Ukrainian, Urdu/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineServices for 2SLGBTQI+"
Catholic Crosscultural Services,https://www.ccscan.ca,"164 Queen Street East, Suite 306","English, Arabic, Dari, Farsi (Persian), Hindi, Pashto, Punjabi, Russian, Sindhi, Sinhalese, Somali, Spanish, Tamil, Ukrainian, Urdu, Uzbek","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Help finding a job', 'Help getting a licence or certification in a regulated profession', 'General language training', 'Services for women', 'Services for seniors', 'Services for refugees']",http://maps.google.com/maps?q=164%20Queen%20Street%20East%2C%20Suite%20306%20Brampton%20Ontario%20Canada,"Brampton, OntarioL6V 1B4Telephone: 905-457-7740Languages of service: English, Arabic, Dari, Farsi (Persian), Hindi, Pashto, Punjabi, Russian, Sindhi, Sinhalese, Somali, Spanish, Tamil, Ukrainian, Urdu, Uzbek/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineHelp finding a jobHelp getting a licence or certification in a regulated professionGeneral language trainingServices for womenServices for seniorsServices for refugees"
Catholic Crosscultural Services,https://www.ccscan.ca,"3227 Eglinton Avenue East, Suite 135","English, Afghan, Arabic, Chinese, Dari, Farsi (Persian), Pashto","['General settlement help', 'Get a settlement plan', 'Help connecting with the local community', 'Services available online', 'Services for children', 'Services for youth']",http://maps.google.com/maps?q=3227%20Eglinton%20Avenue%20East%2C%20Suite%20135%20Scarborough%20Ontario%20Canada,"Scarborough, OntarioM1J 3M5Telephone: 416-266-7200Languages of service: English, Afghan, Arabic, Chinese, Dari, Farsi (Persian), Pashto/General settlement helpGet a settlement planHelp connecting with the local communityServices available onlineServices for childrenServices for youth"
Catholic Crosscultural Services,https://www.ccscan.ca,"3227 Eglinton Avenue East, Suite 135","English, Arabic, Cantonese, Hakka, Hindi, Mandarin, Spanish, Tagalog, Tamil, Telugu, Urdu","['General settlement help', 'Get a settlement plan', 'Help preparing for the citizenship test', 'Help connecting with the local community', 'Services available online', 'Services for women']",http://maps.google.com/maps?q=3227%20Eglinton%20Avenue%20East%2C%20Suite%20135%20Scarborough%20Ontario%20Canada,"Scarborough, OntarioM1J 3M5Telephone: 416-266-7200Languages of service: English, Arabic, Cantonese, Hakka, Hindi, Mandarin, Spanish, Tagalog, Tamil, Telugu, Urdu/General settlement helpGet a settlement planHelp preparing for the citizenship testHelp connecting with the local communityServices available onlineServices for women"
