Organisation Name,Phone,Languages,Googlemaps Address,Website,Address
Centre D'appui Aux Communautés Immigrantes De Bordeaux-Cartierville,"Tel. :  514 856-3511, Ext. 11","Français, Anglais, Arménien, Espagnol, Arabe, Berbère, Kabyle, Ukrainien, Russe, Créole (haïtien), Créole (mauricien), Hindi, Ourdou, Albanais, Wolof, Bansoa, Bandjoun, Bafang, Bamejoun, Bameka, Bamiliké, Mandarin, Malayalam, Roumain, Italien, Moldave, Turc, Persan","https://www.google.com/maps/place/12049+Blvd.+Laurentien,+Montreal,+QC+H4K+1M8/@45.5267857,-73.7186283,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc9236dffd7cd99:0x9ac110043ce037a4!8m2!3d45.5267857!4d-73.7164396",https://www.caci-bc.org,"Centre D'appui Aux Communautés Immigrantes De Bordeaux-Cartierville 12049, boul. Laurentien Montréal (Montréal) H4K 1M8 Tel. :  514 856-3511, Ext. 11 Fax :  514 856-6029"
Centre d'Intégration Multi-Services de l'Ouest-De-l'Île (C.I.M.O.I) Dorval,Tel. :  514 305-1414,"Français, Anglais, Arabe, Espagnol, Hindi, Mandarin, Allemand, Penjabi, Polonais, Hongrois, Urdu","https://www.google.ca/maps/place/1425+Rte+Transcanadienne,+Dorval,+QC+H9P+2W9/@45.4891371,-73.7776691,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc93cdf95323dd5:0xeb48a337fcd8f21f!8m2!3d45.4891334!4d-73.7754804",https://www.cimoi.com,"Centre d'Intégration Multi-Services de l'Ouest-De-l'Île (C.I.M.O.I) Dorval 1425, route Transcanadienne Dorval (Montréal) H9P 2W9 Tel. :  514 305-1414 Fax :  514 542-0563"
Centre d'Intégration Multi-services de L’Ouest-de-l’Île  (C.I.M.O.I) (Alexander),Tel. :  514 685-3000,"Français, Anglais, Arabe, Espagnol, Hindi, Mandarin, Allemand, Penjabi, Polonais, Hongrois, Urdu","https://www.google.com/maps/place/4734+Rue+Alexander,+Pierrefonds,+QC+H8Y+2B1/@45.5040577,-73.7814483,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc93ccdf344a2b5:0x9c408215f57dc71b!8m2!3d45.5040577!4d-73.7792596",https://www.cimoi.com,"Centre d'Intégration Multi-services de L’Ouest-de-l’Île  (C.I.M.O.I) (Alexander) 4734, rue Alexander Pierrefonds (Montréal) H8Y 2B1 Tel. :  514 685-3000 Fax :  514 684-0002"
Centre d'Intégration Multi-services de L’Ouest-de-l’Île  (C.I.M.O.I) (Pierrefonds),Tel. :  514 305-1616,"Français, Anglais, Arabe, Espagnol, Hindi, Mandarin, Allemand, Penjabi, Polonais, Hongrois, Urdu","http://maps.google.ca/maps?q=4734, rue Alexander Pierrefonds, Québec H8Y2B1",https://www.cimoi.com,"Centre d'Intégration Multi-services de L’Ouest-de-l’Île  (C.I.M.O.I) (Pierrefonds) 15650, boulevard de Pierrefonds Pierrefonds (Montréal) H9H 4K3 Tel. :  514 305-1616 Fax :  514 305-1919"
Centre de bénévolat St-Alphonse-Nouvelle inc,Tel. :  418 759-3131,"Français, Anglais",https://maps.app.goo.gl/cy2GQicQmYdHfttMA,https://www.cabmaria.com/,"Centre de bénévolat St-Alphonse-Nouvelle inc 549, boulevard Perron Maria (Gaspésie-Îles-de-la-Madeleine) G0C 1Y0 Tel. :  418 759-3131"
Centre de Formation Option-Travail Ste-Foy,Tel. :  418 651-6415,"Français, Espagnol, Anglais, Arabe","http://maps.google.ca/maps?q=2750, chemin Sainte-Foy, bureau 295 Québec, Québec G1V1V6",https://www.optiontravail.com,"Centre de Formation Option-Travail Ste-Foy 2750, chemin Sainte-Foy Québec (Capitale-Nationale) G1V 1V6 Tel. :  418 651-6415 Fax :  418 651-7500"
Centre Des Femmes De Montréal,Tel. :  514 842-1066,"Français, Anglais, Arabe, Créole (Haïtien), Espagnol","http://maps.google.ca/maps?q=3585, rue Saint-Urbain Montréal, Québec H2X2N6",https://www.centredesfemmesdemtl.org,"Centre Des Femmes De Montréal 3585, rue Saint-Urbain Montréal (Montréal) H2X 2N6 Tel. :  514 842-1066 Fax :  514 842-1067"
Centre Local de Développement de la Région de Rivière-Du-Loup,Tel. :  418 862-1823,"Français, Anglais, Espagnol","http://maps.google.ca/maps?q=310, rue Saint-Pierre, bureau RC-01 Rivière-du-Loup, Québec G5R3V3",https://cldriviereduloup.com/immigration/,"Centre Local de Développement de la Région de Rivière-Du-Loup 310, rue Saint-Pierre Rivière-du-Loup (Bas-Saint-Laurent) G5R 3V3 Tel. :  418 862-1823 Fax :  418 862-3726"
Centre Multiethnique de Québec Inc.,"Tel. :  418 687-9771, Ext. 203","Français, Anglais, Espagnol, Swahili, Lingala, Arabe, Russe, Népalais, Bosniaque, Mandarin, Bhoutanais, Italien, Ukrainien, Polonais, Serbo-Croate","http://maps.google.ca/maps?q=200, rue Dorchester Québec, Québec G1K5Z1",https://www.centremultiethnique.com,"Centre Multiethnique de Québec Inc. 200, rue Dorchester Québec (Capitale-Nationale) G1K 5Z1 Tel. :  418 687-9771, Ext. 203 Fax :  418 687-9063"
Centre R.I.R.E. 2000,"Tel. :  418 524-5609, Ext. 221","Français, Anglais, Espagnol, Swahili, Arabe","http://maps.google.ca/maps?q=369, rue de la Couronne, 3e étage Québec, Québec G1K 6E9",https://www.r2000.qc.ca,"Centre R.I.R.E. 2000 369, rue de la Couronne Québec (Capitale-Nationale) G1K 6E9 Tel. :  418 524-5609, Ext. 221 Fax :  418 521-7305"
Centre Social d'Aide aux Immigrants (Île-Des-Soeurs),Tel. :  514 932-2953,"Français, Anglais, Espagnol, Arabe, Pendjabi, Farsi, Urdu","https://www.google.ca/maps/place/40+Pl.+du+Commerce,+Verdun,+QC+H3E+1J6/@45.4668592,-73.5454156,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc9100c9ac09755:0x2b24451d004a434!8m2!3d45.4668555!4d-73.5432269?hl=fr",https://www.centrecsai.org,"Centre Social d'Aide aux Immigrants (Île-Des-Soeurs) 40, Place du Commerce Montréal (Montréal) H3E 1J6 Tel. :  514 932-2953 Fax :  514 932-4544"
Centre Social d'Aide aux Immigrants (Lachine),Tel. :  514 932-2953,"Français, Anglais, Espagnol, Pendjabi, Urdu","https://www.google.com/maps/place/735+Rue+Notre+Dame,+Lachine,+QC+H8S+2B3/@45.4348204,-73.6726443,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc916eaa48afc25:0x13c72ed267c2fbef!8m2!3d45.4348204!4d-73.6704556",https://www.centrecsai.org,Centre Social d'Aide aux Immigrants (Lachine) 735 rue Notre-Dame Montréal (Montréal) H8S 2B5 Tel. :  514 932-2953 Fax :  514 932-4544
Centre Social d'Aide aux Immigrants (Verdun),Tel. :  514 932-2953,"Français, Anglais, Espagnol, Arabe, Farsi, Mandarin, Farsi, Ukrainien","https://www.google.ca/maps/place/3782+Rue+Wellington,+Verdun,+QC+H4G+1V2",https://www.centrecsai.org,"Centre Social d'Aide aux Immigrants (Verdun) 3782, rue Wellington Montréal (Montréal) H4G 1V2 Tel. :  514 932-2953 Fax :  514 932-4544"
Centre Social d'Aide aux Immigrants (Ville-Émard),Tel. :  514 932-2953,"Français, Anglais, Espagnol, Arabe, Farsi, Wolof, Dari, Hindi, Pendjabi, Ourdou, Roumain, Portugais, Arménien, Lingala, Ukrainien, Swahili, Kikongo, Serbo-Croate, Turc, Fon, Bambara, Berbère, Espéranto, Italien, Russe, Allemand, Créole, Pashto, Vitnamien","http://maps.google.ca/maps?q=6201, rue Laurendeau Montréal, Québec H4E3X8",https://www.centrecsai.org,"Centre Social d'Aide aux Immigrants (Ville-Émard) 6201, rue Laurendeau Montréal (Montréal) H4E 3X8 Tel. :  514 932-2953 Fax :  514 932-4544"
Centre-Émersion (Manicouagan) Inc.,Tel. :  418 296-6388,"Français, Anglais, Allemand, Espagnol","http://maps.google.ca/maps?q=22, Place La Salle Baie-Comeau, Québec G4Z1K3",https://www.emersion.qc.ca,"Centre-Émersion (Manicouagan) Inc. 22, Place La Salle Baie-Comeau (Côte-Nord) G4Z 1K3 Tel. :  418 296-6388 Fax :  418 296-0724"
CJE Charlesbourg-Chauveau,Tel. :  418 623-3300,Français,https://maps.app.goo.gl/WRhkZHgZamyjHF416,https://www.cjecc.org/,"CJE Charlesbourg-Chauveau 8500, boulevard Henri-Bourassa, Québec (Québec) Charlesbourg (Capitale-Nationale) G1G 5X1 Tel. :  418 623-3300 Fax :  418 623-3340"
CJE de Memphrémagog,Tel. :  819 843-3007,"Français, Anglais",https://maps.app.goo.gl/EDNayCbmd8F7mqv6A,https://www.cjemm.com/,CJE de Memphrémagog 95 rue Jean-Paul II Magog (Estrie) J1X 1E4 Tel. :  819 843-3007
Clef pour l'Intégration au Travail des Immigrants,Tel. :  515 987-1759,"Français, Anglais",https://maps.app.goo.gl/iYvraNs9Q3uAzvEW9,https://www.citim.org,"Clef pour l'Intégration au Travail des Immigrants 1259, rue Berri Montréal (Montréal) H2L 4C7 Tel. :  515 987-1759"
Collectif des Femmes Immigrantes du Québec,Tel. :  514 279-4246,"Français, Cambodgien, Arabe, Créole (Haïtien), Espagnol, Ukrainien, Kirundi","http://maps.google.ca/maps?q=7124, rue Boyer Montréal, Québec H2S2J8",https://www.cfiq.ca,"Collectif des Femmes Immigrantes du Québec 7124, rue Boyer Montréal (Montréal) H2S 2J8 Tel. :  514 279-4246 Fax :  514 279-8536"
Comité d'Accueil International Des Bois-Francs,Tel. :  819 795-3814,"Français, Anglais, Arabe, Espagnol","https://www.google.ca/maps/place/Comit%C3%A9+d'accueil+international+des+Bois-Francs/@46.0609943,-71.9502825,17z/data=!3m1!4b1!4m5!3m4!1s0x4cb8016c40026b43:0x1eadf7881b4b3459!8m2!3d46.0609813!4d-71.9481834",https://www.caibf.ca,"Comité d'Accueil International Des Bois-Francs 49, rue De Courval Victoriaville (Centre-du-Québec) G6P 4W6 Tel. :  819 795-3814 Fax :  819 795-4494"
Comité Régional d'Éducation pour le Développement International Lanaudière,"Tel. :  450 756-0011, Ext. 224","Français, Anglais, Arabe, Espagnol","http://maps.google.ca/maps?q=101, rue Dugas Joliette, Québec J6E4G7",https://www.credil.qc.ca,"Comité Régional d'Éducation pour le Développement International Lanaudière 101, rue Dugas Joliette (Lanaudière) J6E 4G7 Tel. :  450 756-0011, Ext. 224 Fax :  450 756-0489"
Corporation de Développement Économique de la MRC de Montmagny,"Tel. :  418 248-5985, Ext. 240","Français, Anglais, Espagnol, Italien, Portugais","http://maps.google.ca/maps?q=6, rue Saint-Jean-Baptiste Est, bureau 300 Montmagny,  G5V1J7",https://www.montmagnyaccueille.com,"Corporation de Développement Économique de la MRC de Montmagny 6, rue Saint-Jean-Baptiste Est Montmagny (Chaudière-Appalaches) G5V 1J7 Tel. :  418 248-5985, Ext. 240 Fax :  418 248-9334"
CRESO Centre-Conseil en Emploi (Beauharnois),Tel. :  452 377-4889,"Français, Anglais, Espagnol","https://www.google.com/maps/place/640+Rue+Ellice,+Beauharnois,+QC+J6N+0T2/@45.3128034,-73.8793093,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc9410a3e3cff31:0x3b2a507520fa31d4!8m2!3d45.3127996!4d-73.8771206",https://www.creso-emploi.ca,"CRESO Centre-Conseil en Emploi (Beauharnois) 640, rue Ellice, 2e étage Beauharnois (Montérégie) J6N 0T2 Tel. :  452 377-4889 Fax :  451 377-5199"
CRESO Centre-Conseil en Emploi (Huntingdon),Tel. :  451 377-4889,"Français, Anglais, Espagnol","https://www.google.com/maps/place/72+Rue+Dalhousie,+Huntingdon,+QC+J0S+1H0/@45.0907957,-74.1816962,17z/data=!4m5!3m4!1s0x4ccbfd445ba604f9:0xda3c2129a2283f0d!8m2!3d45.0907919!4d-74.1791427",https://www.creso-emploi.ca,"CRESO Centre-Conseil en Emploi (Huntingdon) 72, rue Dalhousie Huntingdon (Montérégie) J0S 1H0 Tel. :  451 377-4889 Fax :  450 377-5199"
CRESO Centre-Conseil en Emploi (Salaberry-De-Valleyfield),Tel. :  450 377-4889,"Français, Anglais, Espagnol","https://www.google.ca/maps/place/CRESO+-+Centre-conseil+en+emploi/@45.2566031,-74.1288397,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc94e2eb85f89f7:0x431384c084116e2e!8m2!3d45.2566459!4d-74.1266878",https://www.creso-emploi.ca,"CRESO Centre-Conseil en Emploi (Salaberry-De-Valleyfield) 139, rue Victoria Salaberry-de-Valleyfield (Montérégie) J6T 1A4 Tel. :  450 377-4889 Fax :  450 377-5199"
DÉVELOPPEMENT MAURICIE INC.,Tel. :  418 365-8252,Français,https://goo.gl/maps/7deDTQS4Vkqicwh89,https://www.developpement.com,"DÉVELOPPEMENT MAURICIE INC. 12443, Hart Trois-Rivières (Mauricie) G9A 4S4 Tel. :  418 365-8252"
Droit À L'emploi (D.E.) (Saint-Jean-Sur-Richelieu),Tel. :  450 347-6101,"Français, Anglais, Espagnol, Arabe, Berbère, Créole (Haïtien), Laotien, Portugais, Ukrainien, Russe","http://maps.google.ca/maps?q=49, rue Saint-Jacques Saint-Jean-sur-Richelieu, Québec J3B 2J8",https://www.coffre.ca,"Droit À L'emploi (D.E.) (Saint-Jean-Sur-Richelieu) 49, rue Saint-Jacques Saint-Jean-sur-Richelieu (Montérégie) J3B 2J8 Tel. :  450 347-6101 Fax :  450 347-1198"
Femmes en emploi,Tel. :  450 490-4895,"Français, Anglais, Espagnol, Créole, Arabe",https://goo.gl/maps/sGY5to8CgHkfzHNb7,https://www.femmesenemploi.org,"Femmes en emploi 1688, boulevard des Laurentides Laval (Laval) H7M 2P4 Tel. :  450 490-4895"
Groupe Inclusia (Chicoutimi),Tel. :  418 548-3445,"Français, Anglais, Espagnol, Arabe","https://www.google.com/maps/place/245+Rue+Riverin+%23110,+Chicoutimi,+QC+G7H+4R6/@48.4281623,-71.057051,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc020b2d6eaeb39:0xc99a731e11ae0ae4!8m2!3d48.4281588!4d-71.0548623",https://www.groupeinclusia.com,Groupe Inclusia (Chicoutimi) 245 rue Riverin Ville Saguenay (Saguenay-Lac-Saint-Jean) G7H 4R6 Tel. :  418 548-3445
Groupe Inclusia (Jonquière),Tel. :  418 548-3445,"Français, Anglais, Espagnol, Arabe","https://www.google.ca/maps/place/2303+Rue+Sir+Wilfrid+Laurier,+Jonqui%C3%A8re,+QC+G7X+5Z2/@48.4094238,-71.2530876,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc02920858df7d3:0xf0383d5be0a4e91d!8m2!3d48.4094203!4d-71.2508989",https://www.groupeinclusia.com,"Groupe Inclusia (Jonquière) 2455, rue Cantin Jonquière (Saguenay-Lac-Saint-Jean) G7X 8S7 Tel. :  418 548-3445 Fax :  418 548-3717"
Haute Gaspésie Me Voici,Tel. :  418 763-7791,"Français, Anglais, Arabe, Allemand","https://www.google.com/maps/place/464+Bd+Ste+Anne+O,+Sainte-Anne-des-Monts,+QC+G4V+1T5/@49.1228874,-66.528824,17z/data=!3m1!4b1!4m5!3m4!1s0x4c90c521c3a29dc9:0xee739f79546813d7!8m2!3d49.1228874!4d-66.528824",,"Haute Gaspésie Me Voici 464, boulevard Sainte-Anne Ouest Sainte-Anne-des-Monts (Gaspésie-Îles-de-la-Madeleine) G4V 1T5 Tel. :  418 763-7791"
Horizon Emploi,Tel. :  418 534-3714,"Français, Anglais",https://maps.app.goo.gl/iSp46n8NN79KFvHc9,https://www.horizonemploi.com/,"Horizon Emploi 105, avenue Grand-Pré Bonaventure (Gaspésie-Îles-de-la-Madeleine) GOC 1E0 Tel. :  418 534-3714"
Impact Emploi de l'Érable,Tel. :  819 362-1233,"Français, Anglais, Espagnol","https://www.google.com/maps/place/Impact+Emploi+de+L'%C3%89rable/@46.2226904,-71.7759677,17z/data=!3m1!4b1!4m5!3m4!1s0x4cb80dd1eb9611db:0xcf77d143376f922!8m2!3d46.2226913!4d-71.7737716",https://www.impactemploi.ca,"Impact Emploi de l'Érable 1800, avenue Saint-Laurent Plessisville (Centre-du-Québec) G6L 2P8 Tel. :  819 362-1233 Fax :  819 362-1572"
INICI,Tel. :  514 255-3900,"Français, Anglais, Espagnol, Arabe, Portugais, Roumain, Kirundi, Senoufou, Dioula, Kiryanwanda",https://maps.app.goo.gl/eCAYkfbjxdKLqxVQ7,https://www.alpaong.com/,"INICI 2030, Boulevard Pie IX Montréal (Montréal) H1V 2C8 Tel. :  514 255-3900"
Intégration Compétences,Tel. :  449 464-4481,"Français, Anglais, Espagnol, Ukrainien, Russe, Italien, Roumain",https://maps.app.goo.gl/ghsJpmAb18DkRHSB8,https://www.integrationcompetences.ca,Intégration Compétences CEAP Beloeil Intégration sociale 866 rue Laurier Beloeil (Montérégie) J3G 4K7 Tel. :  449 464-4481 Fax :  449 464-8455
Intégration Compétences,Tel. :  447 464-4481,"Français, Anglais, Espagnol, Ukrainien, Russe, Italien, Roumain",https://maps.app.goo.gl/jtKtN1YhE3f5wNLL6,https://www.integrationcompetences.ca,Intégration Compétences CEAP Saint Bruno 1430 rue de Montarville Saint-Bruno-de-Montarville (Montérégie) J3V 3T5 Tel. :  447 464-4481 Fax :  447 464-8455
Intégration Compétences,Tel. :  447 464-4481,"Français, Anglais, Espagnol, Ukrainien, Russe, Italien, Roumain",https://maps.app.goo.gl/yqtAvjd3mGo1dcFx9,https://www.integrationcompetences.ca,Intégration Compétences CEAP Varennes 20 rue Vincent Varennes (Montérégie) J3X 1R8 Tel. :  447 464-4481 Fax :  447 464-8455
Intégration Compétences,Tel. :  447 464-4481,"Français, Anglais, Espagnol, Ukrainien, Russe, Italien, Roumain",https://maps.app.goo.gl/reMYbXss8oRaE7EU9,https://www.integrationcompetences.ca,"Intégration Compétences La Relance 500, rue du Docteur Poulin Marieville (Montérégie) J3M 1J5 Tel. :  447 464-4481 Fax :  447 464-8455"
Intégration Compétences (Beloeil),Tel. :  450 464-4481,"Français, Anglais, Espagnol, Ukrainien, Russe, Italien, Roumain","https://www.google.ca/maps/place/285+Bd+Cartier,+Beloeil,+QC+J3G+3R2/@45.5545161,-73.2162508,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc9aaef33c7e807:0x1a47975d28e9cb6e!8m2!3d45.5545161!4d-73.2140621",https://www.integrationcompetences.ca,"Intégration Compétences (Beloeil) 287, boulevard Cartier Beloeil (Montérégie) J3G 3R2 Tel. :  450 464-4481 Fax :  450 464-8455"
Intégration Compétences (Chambly),Tel. :  450 464-4481,"Français, Anglais, Espagnol, Ukrainien, Russe, Italien, Roumain","https://www.google.ca/maps/place/1179+Av.+Bourgogne,+Chambly,+QC+J3L+1X3/@45.4563772,-73.3036121,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc9a81881aecd8f:0x61aba84cb099134c!8m2!3d45.4563772!4d-73.3014234",https://www.integrationcompetences.ca,Intégration Compétences (Chambly) 1179 rue Bourgogne Chambly (Montérégie) J3L 1X3 Tel. :  450 464-4481 Fax :  450 447-2037
Intégration Compétences (McMasterville),Tel. :  448 464-4481,"Français, Anglais, Espagnol, Ukrainien, Russe, Italien, Roumain",https://maps.app.goo.gl/xaqHvC7gAYzhrhBc7,https://www.integrationcompetences.ca,"Intégration Compétences (McMasterville) CEAP McMasterville Intégration sociale 720 rue Morin, porte E McMasterville (Montérégie) J3G 1H1 Tel. :  448 464-4481 Fax :  448 464-8455"
Intégration Compétences (Sainte-Julie),Tel. :  447 464-4481,"Français, Anglais, Espagnol, Ukrainien, Russe, Italien, Roumain",https://maps.app.goo.gl/33pHJmmVPPaaSmgr6,https://www.integrationcompetences.ca,Intégration Compétences (Sainte-Julie) 500 avenue Jules-Choquet Sainte-Julie (Montérégie) J3E 1W6 Tel. :  447 464-4481 Fax :  447 464-8455
Intro Drummondville Inc,Tel. :  819 472-8333,"Français, Anglais, Arabe, Espagnol","https://www.google.com/maps/dir/45.5517399,-73.6165888/INTRO+DRUMMONDVILLE+INC/@45.6967368,-73.6188991,9z/data=!3m1!4b1!4m9!4m8!1m1!4e1!1m5!1m1!1s0x4cc81114d0ed8127:0x3bfe20303a086174!2m2!1d-72.4908373!2d45.8864027",https://introdrummondville.ca,"Intro Drummondville Inc 142, rue Hériot Drummondville (Centre-du-Québec) J2C 1J8 Tel. :  819 472-8333"
Jardin Humani-Terre,Tel. :  450 439-3654,"Français, Anglais, Espagnol",https://maps.app.goo.gl/Y9pXnvrtY7BqXczs8,https://jardinhumani-terre.ca/,Jardin Humani-Terre 1172 Rang Double Saint-Lin-Laurentides (Laurentides) J5M 1X8 Tel. :  450 439-3654
Kif-Kif Familles Mobilisées en Action,Tel. :  581 745-2164,"Français, Arabe, Créole, Anglais","https://www.google.com/maps/place/3148+Chem.+Royal,+Qu%C3%A9bec,+QC+G1E+2V9/@46.8499409,-71.2130457,17z/data=!3m1!4b1!4m5!3m4!1s0x4cb8bdee9b23d897:0x6b8b1802e50f280b!8m2!3d46.8499373!4d-71.210857",https://www.facebook.com/KifKifFamilles,"Kif-Kif Familles Mobilisées en Action 3148, Chemin Royal Québec (Beauport) (Capitale-Nationale) G1E 1V2 Tel. :  581 745-2164"
"L'Hirondelle, Services d'Accueil Et d'Intégration des Immigrants",Tel. :  514 281-5696,"Français, Anglais, Espagnol, Arabe, Mandarin, Russe, Farsi, Tchèque, Allemand, Ukrainien, Portugais, Roumain, Créole","https://www.google.ca/maps/place/4450+Rue+St-Hubert,+Montr%C3%A9al,+QC+H2J+2W9/@45.524902,-73.6152801,13z/data=!4m19!1m13!4m12!1m3!2m2!1d-73.5801754!2d45.5258641!1m6!1m2!1s0x4cc91bd02ddc653f:0x23a3b35bba4764dc!2s4450+Rue+Saint-Hubert,+Montr%C3%A9al,+QC!2m2!1d-73.5802608!2d45.5249074!3e0!3m4!1s0x4cc91bd02ddc653f:0x23a3b35bba4764dc!8m2!3d45.5249074!4d-73.5802608?hl=fr",https://www.hirondelle.qc.ca,"L'Hirondelle, Services d'Accueil Et d'Intégration des Immigrants 4450, rue Saint-Hubert Montréal (Montréal) H2J 2W9 Tel. :  514 281-5696 Fax :  514 521-0234"
"L'HIRONDELLE, SERVICES D'ACCUEIL ET D'INTEGRATION DES IMMIGRANTS (Jean-Talon)",Tel. :  514 281-5696,"Français, Anglais, Espagnol, Arabe, Mandarin, Russe, Farsi, Tchèque, Allemand, Ukrainien, Portugais, Roumain, Créole",https://goo.gl/maps/3ZwDjXj13e5r67jH8,https://www.hirondelle.qc.ca,"L'HIRONDELLE, SERVICES D'ACCUEIL ET D'INTEGRATION DES IMMIGRANTS (Jean-Talon) 445, Jean-Talon Ouest Montréal (Montréal) H3N 1R1 Tel. :  514 281-5696 Fax :  514 521-0234"
"L'Hirondelle, Services d'Accueil Et d'Intégration Des Immigrants (Jeanne-mance)",Tel. :  514 281-2038,"Français, Anglais, Espagnol, Arabe, Mandarin, Russe, Farsi, Tchèque, Allemand, Ukrainien, Portugais, Roumain, Créole",https://maps.app.goo.gl/mzeKCLG4mF3EHgZU9,https://www.hirondelle.qc.ca,"L'Hirondelle, Services d'Accueil Et d'Intégration Des Immigrants (Jeanne-mance) 4652, rue Jeanne-Mance Montréal (Montréal) H2V 4V4 Tel. :  514 281-2038 Fax :  514 521-0234"
"L'Organisme pour l'Intégration, la Citoyenneté et l'Inclusion",Tel. :  514 955-5454,"Français, Anglais, Arabe, Espagnol, Lingala, Créole (Haitien)","https://www.google.com/maps/place/5835+Bd+L%C3%A9ger,+Montr%C3%A9al-Nord,+QC+H1G+6E1/@45.6171933,-73.631666,17z/data=!3m1!4b1!4m5!3m4!1s0x4cc91f922e0eb639:0x8a08f0d3609098ad!8m2!3d45.6171896!4d-73.6294773",https://www.licimontrealnord.org,"L'Organisme pour l'Intégration, la Citoyenneté et l'Inclusion 5835, boulevard Léger Montréal (Montréal) H1G 6E1 Tel. :  514 955-5454"
"L'Orienthèque, Centre d'Orientation et Services d'Intégration de la Main-d'Oeuvre",Tel. :  451 730-0181,"Français, Anglais, Espagnol, Arabe",https://maps.app.goo.gl/cjNQAhi7xk53HqiR9,https://www.orientheque.ca,"L'Orienthèque, Centre d'Orientation et Services d'Intégration de la Main-d'Oeuvre 2531 rue immaculée conception Saint-Ours (Montérégie) J0G 1P0 Tel. :  451 730-0181"
"L'Orienthèque, Centre d'Orientation et Services d'Intégration de la Main-d'Oeuvre",Tel. :  450 730-0181,"Français, Anglais, Espagnol, Arabe",https://maps.app.goo.gl/qF2zixjSPbGAw1LVA,https://www.orientheque.ca,"L'Orienthèque, Centre d'Orientation et Services d'Intégration de la Main-d'Oeuvre 4956 rue Legendre Contrecoeur (Montérégie) J0L 1C0 Tel. :  450 730-0181"
"L'Orienthèque, Centre d'Orientation et Services d'Intégration de la Main-d'Oeuvre",Tel. :  450 730-0181,"Français, Anglais, Espagnol, Arabe","http://maps.google.ca/maps?q=343, boulevard Poliquin Sorel-Tracy, Québec J3P7W1",https://www.orientheque.ca,"L'Orienthèque, Centre d'Orientation et Services d'Intégration de la Main-d'Oeuvre 343, boulevard Poliquin Sorel-Tracy (Montérégie) J3P 7W1 Tel. :  450 730-0181 Fax :  450 730-0669"
La Mosaïque : Association Interculturelle et d'Accueil des Immigrants Inc.,Tel. :  819 763-2263,"Français, Anglais, Espagnol, Allemand",https://goo.gl/maps/pn3AFp1qEUN5kEcb7,https://www.mosaique-at.ca,"La Mosaïque : Association Interculturelle et d'Accueil des Immigrants Inc. 145, avenue Mercier Rouyn-Noranda (Abitibi-Témiscamingue) J9X 4X4 Tel. :  819 763-2263"
Le Carrefour Employabilité - Travail de rue,Tel. :  418 885-0751,"Français, Anglais, Espagnol",https://maps.app.goo.gl/kkC8pKk4qAWse9S49,https://cestmoncarrefour.com/,"Le Carrefour Employabilité - Travail de rue 580, route Bégin Saint-Anselme (Chaudière-Appalaches) G0R 2N0 Tel. :  418 885-0751"
Le Carrefour Employabilité - Travail de rue (Le Joffre – Espace convivial),Tel. :  418 885-0751,"Français, Anglais, Espagnol",https://maps.app.goo.gl/vwMeZX57Ee3aS8rw9,https://cestmoncarrefour.com/,"Le Carrefour Employabilité - Travail de rue (Le Joffre – Espace convivial) 574, route Bégin Saint-Anselme (Chaudière-Appalaches) G0R 2N0 Tel. :  418 885-0751"
"Le Tremplin, Centre pour Personnes Immigrantes et leurs Familles",Tel. :  418 603-3512,"Français, Anglais, Espagnol, Portugais","https://www.google.com/maps/place/39+Rue+Guenette,+L%C3%A9vis,+QC+G6V+5M9/@46.8089499,-71.1825192,17z/data=!3m1!4b1!4m5!3m4!1s0x4cb895bc332f4c3d:0x992a69101895ad0a!8m2!3d46.8089499!4d-71.1803305",https://www.letremplinlevis.com,"Le Tremplin, Centre pour Personnes Immigrantes et leurs Familles 39, rue Guenette Lévis (Chaudière-Appalaches) G6V 5M9 Tel. :  418 603-3512 Fax :  418 603-3511"
Les Services de Main-d'Oeuvre l'Appui Inc. (Baie St-Paul),"Tel. :  418 435-2503, Ext. 230 ou 231","Français, Anglais, Espagnol, Arabe, Wolof",https://maps.app.goo.gl/HtNseLQukSsoYNMB7,https://www.cje-appui.qc.ca,"Les Services de Main-d'Oeuvre l'Appui Inc. (Baie St-Paul) 39, St-Jean-Baptiste Baie-Saint-Paul (Capitale-Nationale) G3Z 1M3 Tel. :  418 435-2503, Ext. 230 ou 231 Fax :  418 435-3739"
